Lon,Lat,Address
120.5996308508481,24.14229158797876,台中市南屯區春社里培德路7號
120.6009109336114,24.14252298118082,台中市南屯區春社里精科路2號
120.6062307321551,24.14751725360878,台中市南屯區文山里精科路28號
120.5996308508481,24.14229158797876,台中市南屯區春社里培德路7號
120.6009109336114,24.14252298118082,台中市南屯區春社里精科路2號
120.6062307321551,24.14751725360878,台中市南屯區文山里精科路28號
120.6082305515638,24.14873859268674,台中市南屯區文山里精科路112號
120.5943328215131,24.13940972800623,台中市南屯區春社里中台路310巷1之1號
120.6042334419134,24.136863556312,台中市南屯區春社里建功路256巷22號
120.6042334419134,24.136863556312,台中市南屯區春社里建功路256巷22號
120.6045710319031,24.13615625790407,台中市南屯區春安里建功路143號
120.6062212188122,24.14516855223495,台中市南屯區文山里精科東路18號
120.6090984863531,24.14478177194576,台中市南屯區文山里文山路52號
120.6090984863531,24.14478177194576,台中市南屯區文山里文山路52號
120.5898913608901,24.15005886619645,台中市南屯區春社里精科中一路11號地下一層
120.5898913608901,24.15005886619645,台中市南屯區春社里精科中一路11號地下一層
120.5915797790863,24.14991451697876,台中市南屯區春社里精科中一路20號
120.5939486921909,24.14917036830948,台中市南屯區春社里精科中二路8號
120.5947459516653,24.14893777467079,台中市南屯區春社里精科五路5號
120.5947459516653,24.14893777467079,台中市南屯區春社里精科五路5號
120.5919602984103,24.14979669004106,台中市南屯區春社里精科中一路18號
120.6090984863531,24.14478177194576,台中市南屯區文山里文山路52號
120.6090984863531,24.14478177194576,台中市南屯區文山里文山路52號
120.6090391656542,24.14595604309241,台中市南屯區文山里保安八街38號
120.6042334419134,24.136863556312,台中市南屯區春社里建功路256巷22號
120.6036407380383,24.13663041796557,台中市南屯區春社里建功路270巷17號
120.6042334419134,24.136863556312,台中市南屯區春社里建功路256巷22號
120.6085363239531,24.14854768874941,台中市南屯區文山里保安十街101號
120.606788631556,24.14707670231581,台中市南屯區文山里精科東路17號
120.5927344590287,24.15055476598725,台中市南屯區春社里精科中二路13號
120.5927344590287,24.15055476598725,台中市南屯區春社里精科中二路13號
120.5930642841174,24.15179283055564,台中市南屯區文山里精科八路28號
120.5938299854478,24.15417865809292,台中市南屯區文山里精科北路27號
120.5938299854478,24.15417865809292,台中市南屯區文山里精科北路27號
120.5887581553509,24.14807478482878,台中市南屯區春社里精科八路1號
120.5887581553509,24.14807478482878,台中市南屯區春社里精科八路1號
120.5927344590287,24.15055476598725,台中市南屯區春社里精科中二路13號
120.5919602984103,24.14979669004106,台中市南屯區春社里精科中一路18號
120.5910344312668,24.15048848780174,台中市南屯區春社里精科中二路18號
120.5826132633971,24.15582406369334,台中市南屯區文山里精科北路688巷501之1號
120.5805200167192,24.16394268075151,台中市大肚區瑞井里遊園路一段124巷58號
120.5835263459087,24.15333087409423,台中市南屯區春社里文山南巷988號
120.587559081751,24.15130460497984,台中市南屯區文山里文山南巷901號
120.587559081751,24.15130460497984,台中市南屯區文山里文山南巷901號
120.587559081751,24.15130460497984,台中市南屯區文山里文山南巷901號
120.5898913608901,24.15005886619645,台中市南屯區春社里精科中一路11號地下一層
120.5929892032178,24.15370417215109,台中市南屯區文山里精科八路37號
120.5898913608901,24.15005886619645,台中市南屯區春社里精科中一路11號地下一層
120.5929892032178,24.15370417215109,台中市南屯區文山里精科八路37號
120.5901109306481,24.1518351483573,台中市南屯區文山里文山南巷600號
120.5901109306481,24.1518351483573,台中市南屯區文山里文山南巷600號
120.5929892032178,24.15370417215109,台中市南屯區文山里精科八路37號
120.594720242104,24.15593044472929,台中市南屯區文山里文山南巷500之1號
120.5986145460249,24.15343710774895,台中市南屯區文山里文山南巷520號
120.5989501369271,24.15254301357121,台中市南屯區文山里文山南巷500號
120.6059138310076,24.14435908483549,台中市南屯區文山里精科東路16號
120.6059138310076,24.14435908483549,台中市南屯區文山里精科東路16號
120.6075114577777,24.14942021321676,台中市南屯區文山里文山南巷301號
120.6095576923645,24.14196781811426,台中市南屯區春社里嶺東路59之6號
120.5960666866426,24.15324398149443,台中市南屯區文山里精科北路17號
120.5960666866426,24.15324398149443,台中市南屯區文山里精科北路17號
120.5931245511859,24.14158296336192,台中市南屯區春社里建興路65號
120.5898634953855,24.14323498149093,台中市南屯區春社里永春南路888巷65號
120.5931245511859,24.14158296336192,台中市南屯區春社里建興路65號
120.5931245511859,24.14158296336192,台中市南屯區春社里建興路65號
120.5989408977789,24.14555484766097,台中市南屯區春社里永春南路430巷98之1號
120.5989408977789,24.14555484766097,台中市南屯區春社里永春南路430巷98之1號
120.6027359149336,24.14951141306236,台中市南屯區文山里精科北路3號
120.6027359149336,24.14951141306236,台中市南屯區文山里精科北路3號
120.5944988519988,24.13942768585892,台中市南屯區春社里中台路308號
120.5944988519988,24.13942768585892,台中市南屯區春社里中台路308號
120.5876868785339,24.14891919726846,台中市南屯區春社里精科中路100號
120.5876868785339,24.14891919726846,台中市南屯區春社里精科中路100號
120.5910344312668,24.15048848780174,台中市南屯區春社里精科中二路18號
120.5989408977789,24.14555484766097,台中市南屯區春社里永春南路430巷98之1號
120.5989408977789,24.14555484766097,台中市南屯區春社里永春南路430巷98之1號
120.6009109336114,24.14252298118082,台中市南屯區春社里精科路2號
120.6009109336114,24.14252298118082,台中市南屯區春社里精科路2號
120.5876868785339,24.14891919726846,台中市南屯區春社里精科中路100號
120.5876868785339,24.14891919726846,台中市南屯區春社里精科中路100號
120.5960009613042,24.15046537494639,台中市南屯區文山里精科中路20號
120.5960009613042,24.15046537494639,台中市南屯區文山里精科中路20號
